Rank,Journal name,ISSN,eISSN,Category,Total Citations,2019 JIF,JIF Quartile,2019 JCI,% of OA Gold,Total Articles,OA fee /APC ($USD),Business model,GOA Waiver for Africa
1,TRENDS IN ECOLOGY & EVOLUTION,0169-5347,1872-8383,ECOLOGY - SCIE,"38,177",14.764,Q1,1.71,13.16%,117,6700,Hybrid,No
2,Annual Review of Ecology Evolution and Systematics,1543-592X,1545-2069,ECOLOGY - SCIE,"20,714",14.041,Q1,n/a,0%,25,5000,Hybrid,No
3,Nature Ecology & Evolution,2397-334X,2397-334X,ECOLOGY - SCIE,"6,173",12.543,Q1,3.26,6%,163,11390,Hybrid,No
4,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,1540-9295,1540-9309,ECOLOGY - SCIE,"11,288",9.295,Q1,1.84,6.13%,33,2900,Hybrid,No
5,ISME Journal,1751-7362,1751-7370,ECOLOGY - SCIE,"26,477",9.18,Q1,2.93,42.38%,248,3300,Hybrid,No
6,ECOLOGY LETTERS,1461-023X,1461-0248,ECOLOGY - SCIE,"34,488",8.665,Q1,2.52,17.29%,180,4800,Hybrid,No
7,GLOBAL CHANGE BIOLOGY,1354-1013,1365-2486,ECOLOGY - SCIE,"45,069",8.555,Q1,2.55,14.32%,305,4250,Hybrid,No
8,ECOLOGICAL MONOGRAPHS,0012-9615,1557-7015,ECOLOGY - SCIE,"11,572",7.722,Q1,2.25,12.20%,49,3300,Hybrid,No
9,Methods in Ecology and Evolution,2041-210X,2041-2096,ECOLOGY - SCIE,"14,303",6.514,Q1,2.14,20.07%,184,3000,Hybrid,No
10,ECOGRAPHY,0906-7590,1600-0587,ECOLOGY - SCIE,"12,570",6.455,Q1,1.86,11.90%,170,2450,Hybrid,No
11,GLOBAL ECOLOGY AND BIOGEOGRAPHY,1466-822X,1466-8238,ECOLOGY - SCIE,"12,959",6.446,Q1,2.05,11.90%,142,3650,Hybrid,No
12,Ecosystem Services,2212-0416,2212-0416,ECOLOGY - SCIE,"7,796",6.33,Q1,1.73,13.85%,139,3960,Hybrid,No
13,Molecular Ecology Resources,1755-098X,1755-0998,ECOLOGY - SCIE,"10,868",6.286,Q1,1.83,14.25%,120,4300,Hybrid,No
14,Advances in Ecological Research,0065-2504,2163-582X,ECOLOGY - SCIE,"2,211",6.167,Q1,n/a,0%,15,,Subscription,No
15,JOURNAL OF APPLIED ECOLOGY,0021-8901,1365-2664,ECOLOGY - SCIE,"20,491",5.84,Q1,1.78,16.95%,223,3000,Hybrid,No
16,JOURNAL OF ECOLOGY,0022-0477,1365-2745,ECOLOGY - SCIE,"20,912",5.762,Q1,2.02,7.47%,208,3000,Hybrid,No
17,LANDSCAPE AND URBAN PLANNING,0169-2046,1872-6062,ECOLOGY - SCIE,"18,415",5.441,Q1,2.04,11.40%,225,2340,Hybrid,No
18,CONSERVATION BIOLOGY,0888-8892,1523-1739,ECOLOGY - SCIE,"22,288",5.405,Q1,1.52,22.74%,116,3000,Hybrid,No
19,MOLECULAR ECOLOGY,0962-1083,1365-294X,ECOLOGY - SCIE,"38,953",5.163,Q1,1.47,11.45%,331,4250,Hybrid,No
20,Remote Sensing in Ecology and Conservation,N/A,2056-3485,ECOLOGY - SCIE,440,5,Q1,1.39,100%,20,2420,Open access,Yes
21,BIOLOGICAL CONSERVATION,0006-3207,1873-2917,ECOLOGY - SCIE,"32,257",4.711,Q1,1.32,9.71%,335,3150,Hybrid,No
22,ECOLOGY,0012-9658,1939-9170,ECOLOGY - SCIE,"63,431",4.7,Q1,1.38,7.16%,271,3300,Hybrid,No
23,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8452,1471-2954,ECOLOGY - SCIE,"55,056",4.638,Q1,1.29,23.13%,548,2380,Hybrid,No
24,Current Opinion in Insect Science,2214-5745,2214-5753,ECOLOGY - SCIE,"2,247",4.565,Q1,1.3,8.77%,117,3250,Hybrid,No
25,JOURNAL OF ANIMAL ECOLOGY,0021-8790,1365-2656,ECOLOGY - SCIE,"16,767",4.554,Q1,2.31,16.79%,129,3000,Hybrid,No
26,ECOLOGICAL ECONOMICS,0921-8009,1873-6106,ECOLOGY - SCIE,"26,706",4.482,Q1,1.66,8.82%,311,3580,Hybrid,No
27,FUNCTIONAL ECOLOGY,0269-8463,1365-2435,ECOLOGY - SCIE,"17,075",4.434,Q1,1.43,10.79%,182,3000,Hybrid,No
28,ECOLOGICAL APPLICATIONS,1051-0761,1939-5582,ECOLOGY - SCIE,"21,637",4.248,Q1,1.26,13.31%,159,3300,Hybrid,No
29,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,0167-8809,1873-2305,ECOLOGY - SCIE,"23,560",4.241,Q1,1.53,8.61%,274,3580,Hybrid,No
30,ECOSYSTEMS,1432-9840,1435-0629,ECOLOGY - SCIE,"9,886",4.207,Q1,1.4,17.75%,127,3860,Hybrid,No
31,DIVERSITY AND DISTRIBUTIONS,1366-9516,1472-4642,ECOLOGY - SCIE,"8,608",3.993,Q1,1.34,39.39%,141,2200,Hybrid,No
32,ECOLOGY AND SOCIETY,1708-3087,N/A,ECOLOGY - SCIE,"11,994",3.89,Q1,1.22,100%,135,1175,Open access,Yes
33,FRESHWATER BIOLOGY,0046-5070,1365-2427,ECOLOGY - SCIE,"15,145",3.835,Q1,1.41,5.95%,169,4300,Hybrid,No
34,AMERICAN NATURALIST,0003-0147,1537-5323,ECOLOGY - SCIE,"29,149",3.744,Q1,1.13,0%,158,4300,Hybrid,No
35,JOURNAL OF BIOGEOGRAPHY,0305-0270,1365-2699,ECOLOGY - SCIE,"15,936",3.723,Q1,1.27,4.64%,181,4200,Hybrid,No
36,EVOLUTION,0014-3820,1558-5646,ECOLOGY - SCIE,"32,141",3.698,Q1,1.04,13.30%,164,3000,Hybrid,No
37,ECOLOGICAL ENGINEERING,0925-8574,1872-6992,ECOLOGY - SCIE,"18,887",3.512,Q1,0.86,2.15%,302,3400,Hybrid,No
38,Biogeosciences,1726-4170,1726-4189,ECOLOGY - SCIE,"18,465",3.48,Q1,1.18,100%,260,1750,Open access,No
39,HEREDITY,0018-067X,1365-2540,ECOLOGY - SCIE,"9,843",3.436,Q1,0.97,24.26%,125,3860,Hybrid,No
40,LANDSCAPE ECOLOGY,0921-2973,1572-9761,ECOLOGY - SCIE,"9,901",3.385,Q1,1.19,13.99%,174,3860,Hybrid,No
41,OIKOS,0030-1299,1600-0706,ECOLOGY - SCIE,"21,895",3.37,Q1,1.14,8.11%,154,2650,Hybrid,No
42,Movement Ecology,2051-3933,2051-3933,ECOLOGY - SCIE,703,3.365,Q1,0.93,100%,36,2490,Open access,Yes
43,MICROBIAL ECOLOGY,0095-3628,1432-184X,ECOLOGY - SCIE,"11,311",3.356,Q2,1.27,7.72%,171,3860,Hybrid,No
44,ANIMAL CONSERVATION,1367-9430,1469-1795,ECOLOGY - SCIE,"3,239",3.21,Q2,1.04,6.12%,46,3700,Hybrid,No
45,BASIC AND APPLIED ECOLOGY,1439-1791,1618-0089,ECOLOGY - SCIE,"3,389",3.156,Q2,0.8,5.29%,45,2400,Hybrid,No
46,BIOLOGICAL INVASIONS,1387-3547,1573-1464,ECOLOGY - SCIE,"9,908",3.087,Q2,0.97,9.17%,261,3280,Hybrid,No
47,BIODIVERSITY AND CONSERVATION,0960-3115,1572-9710,ECOLOGY - SCIE,"11,286",2.935,Q2,0.75,13%,190,3280,Hybrid,No
48,Ecosphere,2150-8925,2150-8925,ECOLOGY - SCIE,"7,692",2.878,Q2,0.86,100%,421,1925,Open access,Yes
49,Biology Letters,1744-9561,1744-957X,ECOLOGY - SCIE,"10,300",2.869,Q2,0.92,14.48%,218,2380,Hybrid,No
50,MAMMAL REVIEW,0305-1838,1365-2907,ECOLOGY - SCIE,"2,044",2.804,Q2,1.2,8.43%,27,3000,Hybrid,No
51,INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,1350-4509,1745-2627,ECOLOGY - SCIE,"1,880",2.772,Q2,0.61,2.67%,64,3300,Hybrid,No
52,Ecohydrology,1936-0584,1936-0592,ECOLOGY - SCIE,"3,030",2.767,Q2,0.85,6.82%,108,4000,Hybrid,No
53,BEHAVIORAL ECOLOGY,1045-2249,1465-7279,ECOLOGY - SCIE,"9,999",2.761,Q2,1.16,8.37%,184,3490,Hybrid,No
54,RESTORATION ECOLOGY,1061-2971,1526-100X,ECOLOGY - SCIE,"5,681",2.721,Q2,0.8,6.36%,155,3200,Hybrid,No
55,JOURNAL OF EVOLUTIONARY BIOLOGY,1010-061X,1420-9101,ECOLOGY - SCIE,"10,763",2.72,Q2,0.7,11.21%,110,3000,Hybrid,No
56,JOURNAL OF VEGETATION SCIENCE,1100-9233,1654-1103,ECOLOGY - SCIE,"8,371",2.698,Q2,1.17,3.07%,111,3800,Hybrid,No
57,Fungal Ecology,1754-5048,1878-0083,ECOLOGY - SCIE,"2,746",2.656,Q2,1.23,6.12%,113,3000,Hybrid,No
58,OECOLOGIA,0029-8549,1432-1939,ECOLOGY - SCIE,"32,699",2.654,Q2,0.89,9.72%,256,3280,Hybrid,No
59,NeoBiota,1619-0033,1314-2488,ECOLOGY - SCIE,455,2.643,Q2,0.91,100%,57,1059,Open access,Yes
60,APPLIED VEGETATION SCIENCE,1402-2001,1654-109X,ECOLOGY - SCIE,"2,202",2.574,Q2,1.27,4.65%,50,3800,Hybrid,No
61,Conservation Physiology,2051-1434,2051-1434,ECOLOGY - SCIE,"1,342",2.57,Q2,0.79,100%,53,2175,Open access,Yes
62,URBAN ECOSYSTEMS,1083-8155,1573-1642,ECOLOGY - SCIE,"2,811",2.547,Q2,0.82,14.10%,98,3280,Hybrid,No
63,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,1433-8319,1433-8319,ECOLOGY - SCIE,"2,403",2.54,Q2,0.88,0.69%,39,2850,Hybrid,No
64,ECOTOXICOLOGY,0963-9292,1573-3017,ECOLOGY - SCIE,"6,110",2.535,Q2,0.74,8.63%,116,3280,Hybrid,No
65,Global Ecology and Conservation,2351-9894,2351-9894,ECOLOGY - SCIE,"1,734",2.526,Q2,0.73,100%,260,1820,Open access,Yes
66,Ecological Informatics,1574-9541,1878-0512,ECOLOGY - SCIE,"2,265",2.511,Q2,0.77,7.01%,96,2210,Hybrid,No
67,BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,0003-0090,1937-3546,ECOLOGY - SCIE,"2,593",2.5,Q2,0.58,0%,11,1275,Hybrid,No
68,ECOLOGICAL MODELLING,0304-3800,1872-7026,ECOLOGY - SCIE,"19,314",2.497,Q2,0.8,6.03%,231,2900,Hybrid,No
69,JOURNAL FOR NATURE CONSERVATION,1617-1381,1618-1093,ECOLOGY - SCIE,"1,661",2.482,Q2,0.75,6.57%,69,2380,Hybrid,No
70,Frontiers in Ecology and Evolution,2296-701X,2296-701X,ECOLOGY - SCIE,"2,226",2.416,Q2,0.66,100%,328,2490,Open access,No
71,Ecology and Evolution,2045-7758,2045-7758,ECOLOGY - SCIE,"12,732",2.392,Q2,0.68,100%,,2200,Open access,Yes
72,MARINE ECOLOGY PROGRESS SERIES,0171-8630,1616-1599,ECOLOGY - SCIE,"37,574",2.326,Q2,0.98,0%,288,2352,Hybrid,No
73,Ecosystem Health and Sustainability,2096-4129,2332-8878,ECOLOGY - SCIE,395,2.315,Q2,0.52,100%,21,1500,Open access,Yes
74,EUROPEAN JOURNAL OF SOIL BIOLOGY,1164-5563,1778-3615,ECOLOGY - SCIE,"3,316",2.285,Q2,0.74,1.09%,46,3050,Hybrid,No
75,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0340-5443,1432-0762,ECOLOGY - SCIE,"11,921",2.277,Q2,1.03,13.85%,147,3280,Hybrid,No
76,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,0022-0981,1879-1697,ECOLOGY - SCIE,"14,939",2.247,Q2,0.86,3.28%,111,3000,Hybrid,No
77,WILDLIFE MONOGRAPHS,0084-0173,1938-5455,ECOLOGY - SCIE,877,2.222,Q2,0.96,38.46%,4,2750,Hybrid,No
78,JOURNAL OF WILDLIFE MANAGEMENT,0022-541X,1937-2817,ECOLOGY - SCIE,"10,794",2.215,Q2,1.08,5.94%,144,2200,Hybrid,No
79,JOURNAL OF SOIL AND WATER CONSERVATION,0022-4561,1941-3300,ECOLOGY - SCIE,"4,331",2.209,Q2,0.59,0%,68,2250,Hybrid,No
80,ORYX,0030-6053,1365-3008,ECOLOGY - SCIE,"2,965",2.199,Q2,0.75,6.35%,84,2950,Hybrid,No
81,AoB Plants,2041-2851,2041-2851,ECOLOGY - SCIE,"1,840",2.182,Q2,0.72,100%,74,1400,Open access,Yes
82,JOURNAL OF CHEMICAL ECOLOGY,0098-0331,1573-1561,ECOLOGY - SCIE,"10,156",2.117,Q2,0.65,12.66%,93,3280,Hybrid,No
83,Rangeland Ecology & Management,1550-7424,1551-5028,ECOLOGY - SCIE,"2,409",2.095,Q2,0.65,12.42%,116,2730,Hybrid,No
84,BIOTROPICA,0006-3606,1744-7429,ECOLOGY - SCIE,"6,031",2.09,Q2,0.81,4.01%,84,2500,Hybrid,No
85,CHEMOECOLOGY,0937-7409,1423-0445,ECOLOGY - SCIE,"1,031",2.05,Q3,0.55,14.75%,21,3280,Hybrid,No
86,BMC ECOLOGY,N/A,1472-6785,ECOLOGY - SCIE,"1,251",2.029,Q3,0.63,100%,51,2290,Open access,Yes
87,PEDOBIOLOGIA,0031-4056,1873-1511,ECOLOGY - SCIE,"2,440",2,Q3,0.57,1.92%,33,2100,Hybrid,No
88,PALEOBIOLOGY,0094-8373,1938-5331,ECOLOGY - SCIE,"3,775",1.951,Q3,0.77,22.13%,41,2000,Hybrid,No
89,International Journal for Parasitology-Parasites and Wildlife,2213-2244,2213-2244,ECOLOGY - SCIE,883,1.923,Q3,0.6,100%,115,1838,Open access,Yes
90,Bulletin of the Peabody Museum of Natural History,0079-032X,2162-4135,ECOLOGY - SCIE,273,1.9,Q3,0.36,0%,8,0,Subscription,No
91,ECOHYDROLOGY & HYDROBIOLOGY,1642-3593,2080-3397,ECOLOGY - SCIE,627,1.877,Q3,0.7,1.67%,51,2090,Hybrid,No
92,Aquatic Invasions,1798-6540,1818-5487,ECOLOGY - SCIE,"1,474",1.856,Q3,0.74,100%,44,960,Open access,No
93,Journal of Biological Dynamics,1751-3758,1751-3766,ECOLOGY - SCIE,660,1.856,Q3,0.59,100%,48,1500,Open access,Yes
94,AQUATIC MICROBIAL ECOLOGY,0948-3055,1616-1564,ECOLOGY - SCIE,"4,103",1.841,Q3,0.7,0%,37,2353,Hybrid,No
95,Journal of Plant Ecology,1752-9921,1752-993X,ECOLOGY - SCIE,"1,810",1.833,Q3,0.99,2.44%,100,2085,Hybrid,No
96,JOURNAL OF ARID ENVIRONMENTS,0140-1963,1095-922X,ECOLOGY - SCIE,"8,956",1.83,Q3,0.55,3.07%,125,2950,Hybrid,No
97,PLANT SPECIES BIOLOGY,0913-557X,1442-1984,ECOLOGY - SCIE,741,1.828,Q3,0.56,1.39%,14,2750,Hybrid,No
98,Freshwater Science,2161-9549,2161-9565,ECOLOGY - SCIE,"1,973",1.821,Q3,0.91,0%,76,400,Hybrid,No
99,EVOLUTIONARY ECOLOGY,0269-7653,1573-8477,ECOLOGY - SCIE,"3,549",1.8,Q3,0.59,9.87%,51,3280,Hybrid,No
100,WETLANDS,0277-5212,1943-6246,ECOLOGY - SCIE,"4,883",1.783,Q3,0.5,7.38%,90,3280,Hybrid,No
101,POLAR BIOLOGY,0722-4060,1432-2056,ECOLOGY - SCIE,"6,159",1.728,Q3,0.67,11.31%,188,2780,Hybrid,No
102,WILDLIFE RESEARCH,1035-3712,1448-5494,ECOLOGY - SCIE,"2,811",1.669,Q3,0.68,4.41%,65,2700,Hybrid,No
103,Fire Ecology,1933-9747,1933-9747,ECOLOGY - SCIE,712,1.667,Q3,0.77,100%,39,2090,Open access,Yes
104,Landscape and Ecological Engineering,1860-1871,1860-188X,ECOLOGY - SCIE,465,1.647,Q3,0.47,8.89%,39,3140,Hybrid,No
105,Ecological Processes,N/A,2192-1709,ECOLOGY - SCIE,535,1.642,Q3,0.36,100%,36,0,Open access,Yes
106,Arctic Science,N/A,2368-7460,ECOLOGY - SCIE,173,1.64,Q3,0.49,98.02%,15,1575,Open access,Yes
107,FLORA,0367-2530,1618-0585,ECOLOGY - SCIE,"3,060",1.591,Q3,0.6,1.56%,144,2280,Hybrid,No
108,ECOLOGICAL RESEARCH,0912-3814,1440-1703,ECOLOGY - SCIE,"3,566",1.58,Q3,0.51,12.09%,86,3000,Hybrid,No
109,Ecological Complexity,1476-945X,1476-9840,ECOLOGY - SCIE,"1,815",1.571,Q3,0.46,2.27%,49,2470,Hybrid,No
110,WEB ECOLOGY,2193-3081,1399-1183,ECOLOGY - SCIE,168,1.56,Q3,0.34,100%,5,0,Open access,Yes
111,AUSTRAL ECOLOGY,1442-9985,1442-9993,ECOLOGY - SCIE,"3,992",1.551,Q3,0.5,0.64%,122,3100,Hybrid,No
112,ENVIRONMENTAL BIOLOGY OF FISHES,0378-1909,1573-5133,ECOLOGY - SCIE,"6,265",1.519,Q3,0.53,5.98%,110,3280,Hybrid,No
113,NEW ZEALAND JOURNAL OF ECOLOGY,0110-6465,1177-7788,ECOLOGY - SCIE,"1,131",1.516,Q3,0.42,0%,37,421,Hybrid,No
114,PLANT ECOLOGY,1385-0237,1573-5052,ECOLOGY - SCIE,"5,875",1.509,Q3,0.64,5.18%,87,3280,Hybrid,No
115,THEORETICAL POPULATION BIOLOGY,0040-5809,1096-0325,ECOLOGY - SCIE,"3,776",1.454,Q3,0.5,9.74%,57,2550,Hybrid,No
116,AQUATIC ECOLOGY,1386-2588,1573-5125,ECOLOGY - SCIE,"1,805",1.429,Q3,0.77,8.13%,52,3280,Hybrid,No
117,REVISTA CHILENA DE HISTORIA NATURAL,0716-078X,0717-6317,ECOLOGY - SCIE,"1,370",1.412,Q3,0.41,100%,7,1940,Open access,Yes
118,PHYTOCOENOLOGIA,0340-269X,N/A,ECOLOGY - SCIE,581,1.404,Q3,0.54,0%,19,1217,Hybrid,No
119,Diversity-Basel,N/A,1424-2818,ECOLOGY - SCIE,"1,104",1.402,Q3,0.42,100%,215,1969,Open access,Yes
120,CHEMISTRY AND ECOLOGY,0275-7540,1029-0370,ECOLOGY - SCIE,"1,275",1.4,Q3,0.34,0.52%,61,3500,Hybrid,No
121,Polar Science,1873-9652,1876-4428,ECOLOGY - SCIE,608,1.389,Q3,0.5,5.52%,73,2350,Hybrid,No
122,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,1612-4642,1439-0574,ECOLOGY - SCIE,"1,912",1.381,Q3,0.64,17.38%,100,3280,Hybrid,No
123,AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,1022-0119,1727-9380,ECOLOGY - SCIE,443,1.31,Q3,0.42,5.26%,17,2995,Hybrid,No
124,Marine Biology Research,1745-1000,1745-1019,ECOLOGY - SCIE,"1,366",1.298,Q3,0.48,1.40%,45,2995,Hybrid,No
125,POPULATION ECOLOGY,1438-3896,1438-390X,ECOLOGY - SCIE,"1,184",1.297,Q3,0.46,13.46%,38,3000,Hybrid,No
126,WILDLIFE BIOLOGY,0909-6396,1903-220X,ECOLOGY - SCIE,"1,441",1.258,Q3,0.63,100%,39,824,Open access,Yes
127,ECOSCIENCE,1195-6860,2376-7626,ECOLOGY - SCIE,"1,865",1.25,Q4,0.36,4%,31,2995,Hybrid,No
128,JOURNAL OF FRESHWATER ECOLOGY,0270-5060,2156-6941,ECOLOGY - SCIE,"1,068",1.239,Q4,0.34,100%,54,1200,Open access,Yes
129,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1146-609X,1873-6238,ECOLOGY - SCIE,"3,148",1.22,Q4,0.46,1.17%,77,2740,Hybrid,No
130,Regional Studies in Marine Science,2352-4855,2352-4855,ECOLOGY - SCIE,690,1.183,Q4,0.51,4.86%,211,2460,Hybrid,No
131,JOURNAL OF TROPICAL ECOLOGY,0266-4674,1469-7831,ECOLOGY - SCIE,"3,084",1.163,Q4,0.35,0%,36,3160,Hybrid,No
132,POLAR RESEARCH,0800-0395,1751-8369,ECOLOGY - SCIE,"1,577",1.127,Q4,0.39,100%,41,930,Open access,Yes
133,Theoretical Ecology,1874-1738,1874-1746,ECOLOGY - SCIE,685,1.099,Q4,0.5,11.93%,38,2780,Hybrid,No
134,EVOLUTIONARY ECOLOGY RESEARCH,1522-0613,N/A,ECOLOGY - SCIE,"1,824",1.094,Q4,n/a,0%,18,1000,Hybrid,No
135,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,0305-1978,1873-2925,ECOLOGY - SCIE,"4,357",1.09,Q4,0.3,0.36%,66,2800,Hybrid,No
136,RANGELAND JOURNAL,1036-9872,1834-7541,ECOLOGY - SCIE,859,1.089,Q4,0.43,11.51%,36,2700,Hybrid,No
137,ECOLOGICAL MANAGEMENT & RESTORATION,1442-7001,1442-8903,ECOLOGY - SCIE,797,1.086,Q4,0.34,6.02%,23,2500,Hybrid,No
138,POLISH POLAR RESEARCH,0138-0338,2081-8262,ECOLOGY - SCIE,738,1.065,Q4,0.36,100%,17,0,Open access,Yes
139,JOURNAL OF NATURAL HISTORY,0022-2933,1464-5262,ECOLOGY - SCIE,"3,334",1.032,Q4,0.45,0.70%,141,3300,Hybrid,No
140,PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,0097-3157,N/A,ECOLOGY - SCIE,"1,293",1,Q4,n/a,0%,n/a,600,Open access,No
141,COMPOST SCIENCE & UTILIZATION,1065-657X,2326-2397,ECOLOGY - SCIE,766,0.969,Q4,0.28,1.20%,18,2995,Hybrid,No
142,ANNALES ZOOLOGICI FENNICI,0003-455X,1797-2450,ECOLOGY - SCIE,"1,600",0.956,Q4,0.45,0%,17,705,Hybrid,No
143,Human-Wildlife Interactions,1934-4392,1936-8046,ECOLOGY - SCIE,244,0.897,Q4,0.35,0%,33,1200,Hybrid,No
144,COMMUNITY ECOLOGY,1585-8553,1588-2756,ECOLOGY - SCIE,611,0.851,Q4,0.24,5.05%,31,2780,Hybrid,No
145,POLAR RECORD,0032-2474,1475-3057,ECOLOGY - SCIE,625,0.84,Q4,0.29,11.82%,33,3160,Hybrid,No
146,Journal of Fish and Wildlife Management,1944-687X,N/A,ECOLOGY - SCIE,366,0.813,Q4,0.27,0.58%,60,0,Open access,Yes
147,Ecological Restoration,1543-4060,1543-4079,ECOLOGY - SCIE,415,0.804,Q4,0.18,0%,20,2200,Hybrid,No
148,ACTA AMAZONICA,0044-5967,1809-4392,ECOLOGY - SCIE,"1,583",0.768,Q4,0.45,100%,48,0,Open access,Yes
149,NATURAL AREAS JOURNAL,0885-8608,2162-4399,ECOLOGY - SCIE,796,0.725,Q4,0.34,0%,38,3000,Hybrid,No
150,AFRICAN JOURNAL OF ECOLOGY,0141-6707,1365-2028,ECOLOGY - SCIE,"1,850",0.713,Q4,0.27,2.08%,71,2700,Hybrid,No
151,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,1589-1623,1785-0037,ECOLOGY - SCIE,"1,395",0.712,Q4,0.21,0%,71,1411,Open access,No
152,African Journal of Wildlife Research,2410-7220,2410-8200,ECOLOGY - SCIE,86,0.7,Q4,0.38,0%,n/a,600,Hybrid,No
153,AMERICAN MIDLAND NATURALIST,0003-0031,1938-4238,ECOLOGY - SCIE,"3,490",0.677,Q4,0.23,0%,51,975,Hybrid,No
154,Eco mont-Journal on Protected Mountain Areas Research,2073-106X,2073-1558,ECOLOGY - SCIE,92,0.667,Q4,0.24,100%,14,471,Open access,No
155,Contemporary Problems of Ecology,1995-4255,1995-4263,ECOLOGY - SCIE,522,0.602,Q4,0.16,0%,71,3500,Hybrid,No
156,RUSSIAN JOURNAL OF ECOLOGY,1067-4136,1608-3334,ECOLOGY - SCIE,977,0.557,Q4,0.15,0%,76,3500,Hybrid,No
157,NORTHWEST SCIENCE,0029-344X,2161-9859,ECOLOGY - SCIE,756,0.545,Q4,0.21,0%,26,,Subscription,No
158,NORTHEASTERN NATURALIST,1092-6194,1938-5307,ECOLOGY - SCIE,713,0.538,Q4,0.19,0%,71,1200,Open access,No
159,POLISH JOURNAL OF ECOLOGY,1505-2249,N/A,ECOLOGY - SCIE,667,0.5,Q4,0.15,0%,22,232,Open access,No
160,TROPICAL ECOLOGY,0564-3295,2661-8982,ECOLOGY - SCIE,755,0.462,Q4,0.18,0.57%,41,2780,Hybrid,No
161,PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,0370-047X,N/A,ECOLOGY - SCIE,645,0.455,Q4,0.18,0%,4,0,Open access,Yes
162,INTERCIENCIA,0378-1844,0378-1844,ECOLOGY - SCIE,"1,027",0.448,Q4,0.09,0%,89,3375,Open access,Yes
163,WESTERN NORTH AMERICAN NATURALIST,1527-0904,1944-8341,ECOLOGY - SCIE,636,0.447,Q4,0.15,0%,75,825,Open access,No
164,VIE ET MILIEU-LIFE AND ENVIRONMENT,0240-8759,N/A,ECOLOGY - SCIE,495,0.434,Q4,0.15,0%,21,,Subscription,No
165,SOUTHEASTERN NATURALIST,1528-7092,1938-5412,ECOLOGY - SCIE,688,0.417,Q4,0.14,0%,57,1200,Open access,No
166,Israel Journal of Ecology & Evolution,1565-9801,2224-4662,ECOLOGY - SCIE,232,0.357,Q4,0.27,2.27%,15,2550,Hybrid,No
167,REVUE D ECOLOGIE-LA TERRE ET LA VIE,0249-7395,N/A,ECOLOGY - SCIE,381,0.333,Q4,n/a,0%,n/a,,Subscription,No
168,SOUTHWESTERN NATURALIST,0038-4909,1943-6262,ECOLOGY - SCIE,"1,224",0.127,Q4,0.06,0%,12,1200,Open access,No
169,NATURAL HISTORY,0028-0712,N/A,ECOLOGY - SCIE,408,0.017,Q4,0.01,0%,53,,Subscription,No
